nll,pi_aa,pi_cc,pi_gg,pi_tt,pi_ac,pi_ag,pi_at,pi_cg,pi_ct,pi_gt,"q_{1,2}","q_{1,3}","q_{1,4}","q_{1,5}","q_{1,6}","q_{1,7}","q_{1,8}","q_{1,9}","q_{1,10}","q_{2,3}","q_{2,4}","q_{2,5}","q_{2,6}","q_{2,7}","q_{2,8}","q_{2,9}","q_{2,10}","q_{3,4}","q_{3,5}","q_{3,6}","q_{3,7}","q_{3,8}","q_{3,9}","q_{3,10}","q_{4,5}","q_{4,6}","q_{4,7}","q_{4,8}","q_{4,9}","q_{4,10}","q_{5,6}","q_{5,7}","q_{5,8}","q_{5,9}","q_{5,10}","q_{6,7}","q_{6,8}","q_{6,9}","q_{6,10}","q_{7,8}","q_{7,9}","q_{7,10}","q_{8,9}","q_{8,10}","q_{9,10}"
-2781.30719,0.075722,0.044028,0.031581,0.100705,0.129957,0.117433,0.162604,0.093882,0.116326,0.127761,0.001,0.001,0.001,2.465352,0.544975,4.225224,0.001,0.001,0.001,0.001,0.001,2.465352,0.001,0.001,1.0,5.970858,0.001,0.001,0.001,0.544975,0.001,1.0,0.001,1.334589,0.001,0.001,4.225224,0.001,5.970858,1.334589,1.0,5.970858,0.544975,4.225224,0.001,1.334589,2.465352,0.001,4.225224,0.001,2.465352,0.544975,1.334589,5.970858,1.0
-2700.393262,0.082799,0.040389,0.03557,0.082862,0.118246,0.129868,0.182866,0.071212,0.124551,0.131635,0.001,0.001,0.001,6.410555,1.55602,10.262064,0.001,0.001,0.001,0.001,0.001,6.410555,0.001,0.001,1.0,17.705899,0.001,0.001,0.001,1.55602,0.001,1.0,0.001,4.631092,0.001,0.001,10.262064,0.001,17.705899,4.631092,1.0,17.705899,1.55602,10.262064,0.001,4.631092,6.410555,0.001,10.262064,0.001,6.410555,1.55602,4.631092,17.705899,1.0
-2701.686131,0.069789,0.054557,0.039621,0.099741,0.122426,0.124861,0.170425,0.082916,0.131303,0.104362,0.001,0.001,0.001,3.896664,0.443846,3.839367,0.001,0.001,0.001,0.001,0.001,3.896664,0.001,0.001,1.0,8.622314,0.001,0.001,0.001,0.443846,0.001,1.0,0.001,1.994949,0.001,0.001,3.839367,0.001,8.622314,1.994949,1.0,8.622314,0.443846,3.839367,0.001,1.994949,3.896664,0.001,3.839367,0.001,3.896664,0.443846,1.994949,8.622314,1.0
-2684.036295,0.075648,0.038861,0.036489,0.087555,0.123957,0.122001,0.18787,0.079842,0.119307,0.12847,0.001,0.001,0.001,0.991241,0.189284,3.44915,0.001,0.001,0.001,0.001,0.001,0.991241,0.001,0.001,1.0,2.832086,0.001,0.001,0.001,0.189284,0.001,1.0,0.001,1.139487,0.001,0.001,3.44915,0.001,2.832086,1.139487,1.0,2.832086,0.189284,3.44915,0.001,1.139487,0.991241,0.001,3.44915,0.001,0.991241,0.189284,1.139487,2.832086,1.0
-2784.480206,0.090561,0.05064,0.039463,0.109219,0.112963,0.131672,0.173466,0.081633,0.109644,0.100739,0.001,0.001,0.001,1.029084,0.305108,2.020866,0.001,0.001,0.001,0.001,0.001,1.029084,0.001,0.001,1.0,3.882151,0.001,0.001,0.001,0.305108,0.001,1.0,0.001,0.57426,0.001,0.001,2.020866,0.001,3.882151,0.57426,1.0,3.882151,0.305108,2.020866,0.001,0.57426,1.029084,0.001,2.020866,0.001,1.029084,0.305108,0.57426,3.882151,1.0
-2720.097418,0.082602,0.04154,0.047433,0.083,0.146204,0.116185,0.162701,0.073603,0.120987,0.125745,0.001,0.001,0.001,5.00665,2.498337,13.139485,0.001,0.001,0.001,0.001,0.001,5.00665,0.001,0.001,1.0,16.185262,0.001,0.001,0.001,2.498337,0.001,1.0,0.001,4.369641,0.001,0.001,13.139485,0.001,16.185262,4.369641,1.0,16.185262,2.498337,13.139485,0.001,4.369641,5.00665,0.001,13.139485,0.001,5.00665,2.498337,4.369641,16.185262,1.0
-2748.349012,0.077423,0.038355,0.042177,0.085056,0.117802,0.113509,0.175986,0.092974,0.124135,0.132582,0.001,0.001,0.001,0.403569,0.129898,1.930245,0.001,0.001,0.001,0.001,0.001,0.403569,0.001,0.001,1.0,3.107542,0.001,0.001,0.001,0.129898,0.001,1.0,0.001,1.027383,0.001,0.001,1.930245,0.001,3.107542,1.027383,1.0,3.107542,0.129898,1.930245,0.001,1.027383,0.403569,0.001,1.930245,0.001,0.403569,0.129898,1.027383,3.107542,1.0
-2736.886026,0.085145,0.044915,0.050725,0.096292,0.131119,0.103627,0.15303,0.086303,0.116212,0.132631,0.001,0.001,0.001,6.029771,0.812236,10.558475,0.001,0.001,0.001,0.001,0.001,6.029771,0.001,0.001,1.0,22.859359,0.001,0.001,0.001,0.812236,0.001,1.0,0.001,1.644786,0.001,0.001,10.558475,0.001,22.859359,1.644786,1.0,22.859359,0.812236,10.558475,0.001,1.644786,6.029771,0.001,10.558475,0.001,6.029771,0.812236,1.644786,22.859359,1.0
-2771.064268,0.092403,0.045104,0.044418,0.116589,0.102943,0.109086,0.159531,0.090487,0.118443,0.120994,0.001,0.001,0.001,1.365139,0.192034,3.003705,0.001,0.001,0.001,0.001,0.001,1.365139,0.001,0.001,1.0,3.991801,0.001,0.001,0.001,0.192034,0.001,1.0,0.001,0.888651,0.001,0.001,3.003705,0.001,3.991801,0.888651,1.0,3.991801,0.192034,3.003705,0.001,0.888651,1.365139,0.001,3.003705,0.001,1.365139,0.192034,0.888651,3.991801,1.0
-2764.95044,0.079228,0.045259,0.048559,0.09266,0.121511,0.123305,0.184415,0.090917,0.10497,0.109177,0.001,0.001,0.001,1.025521,0.746653,4.852689,0.001,0.001,0.001,0.001,0.001,1.025521,0.001,0.001,1.0,6.505074,0.001,0.001,0.001,0.746653,0.001,1.0,0.001,0.24478,0.001,0.001,4.852689,0.001,6.505074,0.24478,1.0,6.505074,0.746653,4.852689,0.001,0.24478,1.025521,0.001,4.852689,0.001,1.025521,0.746653,0.24478,6.505074,1.0
-2768.580882,0.09109,0.042192,0.045549,0.087005,0.112026,0.122202,0.17912,0.085775,0.115382,0.119659,0.001,0.001,0.001,0.763244,0.55149,3.368601,0.001,0.001,0.001,0.001,0.001,0.763244,0.001,0.001,1.0,5.049072,0.001,0.001,0.001,0.55149,0.001,1.0,0.001,0.182958,0.001,0.001,3.368601,0.001,5.049072,0.182958,1.0,5.049072,0.55149,3.368601,0.001,0.182958,0.763244,0.001,3.368601,0.001,0.763244,0.55149,0.182958,5.049072,1.0
-2670.47631,0.096343,0.044716,0.033781,0.105235,0.122794,0.118518,0.183176,0.070549,0.105032,0.119855,0.001,0.001,0.001,2.552213,0.710749,6.401104,0.001,0.001,0.001,0.001,0.001,2.552213,0.001,0.001,1.0,5.258311,0.001,0.001,0.001,0.710749,0.001,1.0,0.001,0.356614,0.001,0.001,6.401104,0.001,5.258311,0.356614,1.0,5.258311,0.710749,6.401104,0.001,0.356614,2.552213,0.001,6.401104,0.001,2.552213,0.710749,0.356614,5.258311,1.0
-2679.286404,0.093169,0.044461,0.049495,0.090325,0.124185,0.112926,0.173019,0.07157,0.107929,0.132922,0.001,0.001,0.001,0.480675,0.290834,1.863268,0.001,0.001,0.001,0.001,0.001,0.480675,0.001,0.001,1.0,3.409849,0.001,0.001,0.001,0.290834,0.001,1.0,0.001,0.307799,0.001,0.001,1.863268,0.001,3.409849,0.307799,1.0,3.409849,0.290834,1.863268,0.001,0.307799,0.480675,0.001,1.863268,0.001,0.480675,0.290834,0.307799,3.409849,1.0
-2749.523134,0.094489,0.053951,0.028811,0.088946,0.112717,0.126779,0.179123,0.076468,0.112498,0.126216,0.001,0.001,0.001,2.641954,0.372718,7.422761,0.001,0.001,0.001,0.001,0.001,2.641954,0.001,0.001,1.0,8.432832,0.001,0.001,0.001,0.372718,0.001,1.0,0.001,0.754324,0.001,0.001,7.422761,0.001,8.432832,0.754324,1.0,8.432832,0.372718,7.422761,0.001,0.754324,2.641954,0.001,7.422761,0.001,2.641954,0.372718,0.754324,8.432832,1.0
-2732.34768,0.080232,0.045486,0.043557,0.10005,0.11274,0.127488,0.163024,0.081593,0.117106,0.128725,0.001,0.001,0.001,1.394098,1.066099,5.178477,0.001,0.001,0.001,0.001,0.001,1.394098,0.001,0.001,1.0,4.798933,0.001,0.001,0.001,1.066099,0.001,1.0,0.001,0.250713,0.001,0.001,5.178477,0.001,4.798933,0.250713,1.0,4.798933,1.066099,5.178477,0.001,0.250713,1.394098,0.001,5.178477,0.001,1.394098,1.066099,0.250713,4.798933,1.0
-2725.884137,0.083264,0.043327,0.030686,0.092968,0.123681,0.114258,0.177802,0.087192,0.127993,0.11883,0.001,0.001,0.001,2.597023,0.800972,6.575341,0.001,0.001,0.001,0.001,0.001,2.597023,0.001,0.001,1.0,7.631039,0.001,0.001,0.001,0.800972,0.001,1.0,0.001,1.575183,0.001,0.001,6.575341,0.001,7.631039,1.575183,1.0,7.631039,0.800972,6.575341,0.001,1.575183,2.597023,0.001,6.575341,0.001,2.597023,0.800972,1.575183,7.631039,1.0
-2724.086203,0.082163,0.041528,0.058026,0.095009,0.113731,0.127165,0.149849,0.088465,0.114185,0.12988,0.001,0.001,0.001,1.576063,0.401738,2.732324,0.001,0.001,0.001,0.001,0.001,1.576063,0.001,0.001,1.0,3.677768,0.001,0.001,0.001,0.401738,0.001,1.0,0.001,1.366393,0.001,0.001,2.732324,0.001,3.677768,1.366393,1.0,3.677768,0.401738,2.732324,0.001,1.366393,1.576063,0.001,2.732324,0.001,1.576063,0.401738,1.366393,3.677768,1.0
-2681.827263,0.082725,0.034,0.055346,0.105597,0.116204,0.11356,0.18078,0.076212,0.122639,0.112938,0.001,0.001,0.001,0.506264,0.753068,4.078656,0.001,0.001,0.001,0.001,0.001,0.506264,0.001,0.001,1.0,4.363215,0.001,0.001,0.001,0.753068,0.001,1.0,0.001,0.945061,0.001,0.001,4.078656,0.001,4.363215,0.945061,1.0,4.363215,0.753068,4.078656,0.001,0.945061,0.506264,0.001,4.078656,0.001,0.506264,0.753068,0.945061,4.363215,1.0
-2707.30371,0.080826,0.030897,0.045466,0.114165,0.111365,0.123773,0.169809,0.070798,0.129203,0.123698,0.001,0.001,0.001,1.903302,0.26191,3.912093,0.001,0.001,0.001,0.001,0.001,1.903302,0.001,0.001,1.0,4.328335,0.001,0.001,0.001,0.26191,0.001,1.0,0.001,1.404755,0.001,0.001,3.912093,0.001,4.328335,1.404755,1.0,4.328335,0.26191,3.912093,0.001,1.404755,1.903302,0.001,3.912093,0.001,1.903302,0.26191,1.404755,4.328335,1.0
-2743.951501,0.084945,0.051208,0.049509,0.082257,0.117631,0.103722,0.192017,0.085546,0.121328,0.111838,0.001,0.001,0.001,0.956325,0.502595,4.745935,0.001,0.001,0.001,0.001,0.001,0.956325,0.001,0.001,1.0,5.208926,0.001,0.001,0.001,0.502595,0.001,1.0,0.001,0.764489,0.001,0.001,4.745935,0.001,5.208926,0.764489,1.0,5.208926,0.502595,4.745935,0.001,0.764489,0.956325,0.001,4.745935,0.001,0.956325,0.502595,0.764489,5.208926,1.0
-2714.329294,0.083615,0.049315,0.05043,0.08535,0.110323,0.117888,0.174996,0.078605,0.126605,0.122873,0.001,0.001,0.001,2.353231,0.001,6.58009,0.001,0.001,0.001,0.001,0.001,2.353231,0.001,0.001,1.0,7.107687,0.001,0.001,0.001,0.001,0.001,1.0,0.001,2.703045,0.001,0.001,6.58009,0.001,7.107687,2.703045,1.0,7.107687,0.001,6.58009,0.001,2.703045,2.353231,0.001,6.58009,0.001,2.353231,0.001,2.703045,7.107687,1.0
-2703.626195,0.085861,0.042348,0.048498,0.081619,0.120225,0.123318,0.173366,0.095676,0.110344,0.118746,0.001,0.001,0.001,1.377824,0.187539,2.724235,0.001,0.001,0.001,0.001,0.001,1.377824,0.001,0.001,1.0,4.195371,0.001,0.001,0.001,0.187539,0.001,1.0,0.001,0.581096,0.001,0.001,2.724235,0.001,4.195371,0.581096,1.0,4.195371,0.187539,2.724235,0.001,0.581096,1.377824,0.001,2.724235,0.001,1.377824,0.187539,0.581096,4.195371,1.0
-2721.315144,0.083348,0.038621,0.03545,0.093312,0.106663,0.126659,0.201774,0.07263,0.115463,0.126081,0.001,0.001,0.001,0.739027,0.09842,1.638675,0.001,0.001,0.001,0.001,0.001,0.739027,0.001,0.001,1.0,1.669375,0.001,0.001,0.001,0.09842,0.001,1.0,0.001,0.474632,0.001,0.001,1.638675,0.001,1.669375,0.474632,1.0,1.669375,0.09842,1.638675,0.001,0.474632,0.739027,0.001,1.638675,0.001,0.739027,0.09842,0.474632,1.669375,1.0
-2800.335446,0.092238,0.042269,0.043319,0.108256,0.110348,0.125103,0.163859,0.086874,0.104279,0.123456,0.001,0.001,0.001,3.210583,1.10028,5.433846,0.001,0.001,0.001,0.001,0.001,3.210583,0.001,0.001,1.0,9.231772,0.001,0.001,0.001,1.10028,0.001,1.0,0.001,2.513192,0.001,0.001,5.433846,0.001,9.231772,2.513192,1.0,9.231772,1.10028,5.433846,0.001,2.513192,3.210583,0.001,5.433846,0.001,3.210583,1.10028,2.513192,9.231772,1.0
-2792.73443,0.079496,0.051067,0.054389,0.099899,0.126307,0.107172,0.168672,0.086044,0.111766,0.115188,0.001,0.001,0.001,2.001293,0.400702,7.583627,0.001,0.001,0.001,0.001,0.001,2.001293,0.001,0.001,1.0,8.917881,0.001,0.001,0.001,0.400702,0.001,1.0,0.001,2.382473,0.001,0.001,7.583627,0.001,8.917881,2.382473,1.0,8.917881,0.400702,7.583627,0.001,2.382473,2.001293,0.001,7.583627,0.001,2.001293,0.400702,2.382473,8.917881,1.0
-2741.881905,0.06472,0.050847,0.044382,0.10346,0.095438,0.115003,0.176299,0.077762,0.131252,0.140837,0.001,0.001,0.001,0.644442,0.207209,3.19437,0.001,0.001,0.001,0.001,0.001,0.644442,0.001,0.001,1.0,4.827027,0.001,0.001,0.001,0.207209,0.001,1.0,0.001,1.086625,0.001,0.001,3.19437,0.001,4.827027,1.086625,1.0,4.827027,0.207209,3.19437,0.001,1.086625,0.644442,0.001,3.19437,0.001,0.644442,0.207209,1.086625,4.827027,1.0
-2687.12217,0.086331,0.03961,0.056345,0.104425,0.119592,0.128297,0.161444,0.072554,0.106734,0.124667,0.001,0.001,0.001,0.512078,0.301308,2.016449,0.001,0.001,0.001,0.001,0.001,0.512078,0.001,0.001,1.0,3.420789,0.001,0.001,0.001,0.301308,0.001,1.0,0.001,0.437944,0.001,0.001,2.016449,0.001,3.420789,0.437944,1.0,3.420789,0.301308,2.016449,0.001,0.437944,0.512078,0.001,2.016449,0.001,0.512078,0.301308,0.437944,3.420789,1.0
-2695.197521,0.092672,0.027182,0.05134,0.087615,0.112999,0.136738,0.186075,0.063434,0.12158,0.120365,0.001,0.001,0.001,0.981296,0.534414,3.444024,0.001,0.001,0.001,0.001,0.001,0.981296,0.001,0.001,1.0,2.880007,0.001,0.001,0.001,0.534414,0.001,1.0,0.001,0.702376,0.001,0.001,3.444024,0.001,2.880007,0.702376,1.0,2.880007,0.534414,3.444024,0.001,0.702376,0.981296,0.001,3.444024,0.001,0.981296,0.534414,0.702376,2.880007,1.0
