nll,pi_aa,pi_cc,pi_gg,pi_tt,pi_ac,pi_ag,pi_at,pi_cg,pi_ct,pi_gt,s_0,s_1,s_2,s_3,s_4,s_5
2744.6360090823487,0.08604,0.04994,0.04101,0.08902,0.11211,0.139,0.15986,0.08395,0.11806,0.12101,2.588851380218425,1.000015985413393e-08,8.487471469271776,0.4507926994915628,7.981419877273959,0.35245537914167896
2720.167647639181,0.08305,0.04197,0.05096,0.09494,0.14390999999999998,0.11499000000000001,0.16913,0.062049999999999994,0.12,0.119,2.356319642308115,9.999987942286318e-09,7.025822596845919,1.4631223155838,7.412688024340144,1.2092215860362734
2691.6699613504725,0.083,0.04102,0.043,0.11701,0.09506,0.12396,0.16601,0.07802,0.12492999999999999,0.12799,2.731904743361557,0.4337914769779226,5.364312291321088,1.682161753207347,9.297955988681126,1.1353869239442844
2750.4845131132383,0.09302,0.05099,0.04,0.09597,0.10499,0.12003,0.17304,0.08601,0.10297999999999999,0.13297,3.1833086806459723,1.0000005140562118e-08,5.808184728926042,2.0248748936308103,8.075021478767646,1.8128318427103602
2638.4126044318227,0.08102,0.04302,0.04002,0.09798,0.11499999999999999,0.12102,0.17697000000000002,0.07699,0.12799,0.11999000000000001,3.207267634477989,0.4745201550241664,5.591887936245888,1.1915315744092767,8.945257025877536,0.4438662431369779
2683.641780597788,0.08392,0.04299,0.03601,0.0961,0.13201,0.12708,0.16793999999999998,0.07600000000000001,0.105,0.13295,2.618494391358343,9.999974278070512e-09,7.257293973412107,2.094129338495939,5.326953086980917,2.461235879042987
2693.650923991095,0.076,0.03002,0.05099,0.09001,0.11893000000000001,0.11202000000000001,0.15211999999999998,0.09603,0.14085999999999999,0.13302,2.94815909056058,1.0000094929807945e-08,4.973345553129864,1.4187069007029471,9.479861484074616,1.5311717102434745
2740.2939283105384,0.07808,0.03396,0.04898,0.09401,0.12506,0.12397999999999999,0.17086,0.07308,0.12094,0.13105,2.3220174712989534,0.3563392474248217,6.419458039542035,1.356417301017391,7.667980334060985,1.7378475874449897
2618.8097479268413,0.07494,0.03402,0.043,0.082,0.13091999999999998,0.12997999999999998,0.17515,0.07999999999999999,0.12997,0.12002,2.288263368106255,1.394590866264085,4.34586347611159,1.6789734332310522,9.13203432840598,1.3510091763992778
2752.2330629668554,0.08902,0.044,0.04499,0.09305,0.13302999999999998,0.12395999999999999,0.1609,0.07103,0.12196,0.11806,0.7331564617989996,0.748090116771682,6.769814928700553,1.367003264653799,7.647012730735659,2.6445855446162674
2781.0887840202377,0.07596,0.04302,0.03199,0.10001,0.13391,0.11506,0.16401,0.09105,0.11606,0.12893000000000002,3.1516644084292347,0.6902299969140171,5.355489441952451,1.276834305160539,7.579408704375297,1.7046197000421057
2707.2614939712544,0.08103,0.04098,0.035,0.08298,0.11902,0.13199,0.18392,0.07396,0.12106,0.13006,3.070309921134116,0.743096131009838,4.914290404478264,0.4823570417845286,8.44600052773864,2.20733702675567
2708.9928964551655,0.07,0.05692,0.039,0.09893,0.1249,0.12795,0.16912,0.07905,0.12714999999999999,0.10697999999999999,3.975931360493843,0.4483868127287873,3.8947382782868405,1.0181900905675443,8.783003116743847,2.0312855463503436
2675.901161673825,0.07601,0.03506,0.035,0.08309,0.12694,0.12203,0.19186,0.08,0.11705,0.13296000000000002,1.9952240522215718,0.37598450454752413,6.9183667864047695,2.0219692334291977,5.6843979801278905,2.2940728204579783
2784.21547303948,0.08997,0.04898,0.04,0.1041,0.11396,0.134,0.17402,0.08298,0.10997,0.10202,2.448773697001584,0.7237466995169903,4.8327649135797985,2.383426715778182,9.30382316395293,1.3652347517188892
2723.5627062098056,0.08299,0.04196,0.047,0.08104,0.14211000000000001,0.11703,0.1669,0.07595,0.11999,0.12503,2.3318743401748643,1.163783719813617,6.164066667737446,0.4723669304255692,7.579584911689191,2.0337197314465665
2742.246316326009,0.07602,0.03608,0.04197,0.08307,0.11603,0.11599999999999999,0.17987999999999998,0.09397,0.12694,0.13004,1.065154062565133,0.34521409605198844,5.139966566933183,2.6726842830106605,8.312711605816036,2.7075024064330653
2733.6728276984195,0.08502,0.03997,0.05099,0.09505,0.13201,0.106,0.15497,0.08799,0.11397,0.13403,2.867355508579253,0.3811525665169914,5.002804167717653,0.47809513230449396,10.872460975896235,0.7764623305073282
2768.399858396702,0.09203,0.04298,0.04297,0.11306,0.10605,0.11096,0.16396,0.08904999999999999,0.11893,0.12000999999999999,2.6651502766244017,0.37702219790015057,5.881696126203652,1.9795021187700248,7.861752583779203,1.7535969052935836
2766.671953219226,0.07899,0.04197,0.04896,0.09199,0.12398,0.12302,0.18505,0.09106,0.10497999999999999,0.11,1.4327299627661063,1.0362367047693923,6.769033515459816,1.4003986671205262,9.063682305084289,0.34153659900830236
2770.5729604075523,0.09195,0.03892,0.04596,0.09092,0.11314,0.12298,0.17897000000000002,0.08324000000000001,0.11498,0.11893999999999999,1.4342443773546225,1.0315495632100473,6.2477450211274554,1.8955000230713681,9.45480436233798,0.3419000801292311
2669.0807845663735,0.09505,0.04506,0.034,0.104,0.12006,0.11702,0.18594,0.07002,0.10688,0.12197,2.996638441064961,0.8317627791932821,7.495730407757432,1.1721782339678297,6.177424928671723,0.4157211399068587
2674.7971497464277,0.09399,0.04302,0.04811,0.08699,0.12801,0.11499999999999999,0.17698999999999998,0.06828000000000001,0.10500999999999999,0.1346,1.3623878770887319,0.816782525931688,5.254086054579196,2.854106212289411,9.66791966180426,0.8727114411909779
2744.1741947878854,0.09207,0.04901,0.02801,0.08797,0.11303,0.12998,0.17997,0.07794999999999999,0.11397,0.12804,2.496697790086603,0.35097879601305554,7.009029706688884,0.9432579039570613,7.976592771471429,0.7064488022910957
2730.385528622419,0.08095,0.04394,0.04103,0.09895,0.11332,0.12800999999999998,0.16566999999999998,0.08198,0.11812,0.12803,2.0175234479297917,1.5470396164183549,7.498424111991701,1.4616097263852486,6.964359432741777,0.3652607747654878
2722.946443224522,0.08202,0.04299,0.03001,0.08663,0.12798,0.11596999999999999,0.18104,0.08698,0.12836999999999998,0.11801,2.4476976175155536,0.7570091482848692,6.254014327993318,0.9477211798836692,7.2352232524846505,1.4983318688548903
2716.976051270127,0.07908,0.04299,0.05699,0.0928,0.11608,0.12797,0.15476,0.08803,0.11033000000000001,0.13097,3.101174116643239,0.7897762733596557,5.375894856959224,1.9791313425194037,7.21384894956547,2.6891708674237935
2676.714602566372,0.08303,0.03229,0.05402,0.10399,0.11995,0.11596999999999999,0.18298999999999999,0.07696,0.12062,0.11018,0.85441057685893,1.2685121571835303,6.895640221095448,1.7050569916181209,7.378661942447759,1.6041779187032421
2705.1759555994686,0.08001,0.03099,0.045,0.11391,0.10907,0.12895,0.17296,0.06803000000000001,0.12906,0.12202,2.9463435439717935,0.4063484395467479,6.027019805066356,1.556840475985888,6.741901156570987,2.1607953375179925
2748.191734979415,0.083,0.04996,0.04802,0.08495,0.12193,0.10498,0.19407,0.08692,0.11507,0.1111,1.4440838099979287,0.7504741189701879,7.106375539613277,1.5167179709091394,7.761424603740388,1.1444788442086393
2709.3720019740335,0.08302,0.046,0.049,0.08305,0.11299,0.11702,0.18092999999999998,0.07999999999999999,0.12695,0.12104000000000001,2.361316686353102,9.99998748070676e-09,6.640807157216122,1.022632026251647,7.177750608113509,2.7380094692820096
2707.0035010056904,0.08797,0.04099,0.04698,0.08388,0.12397,0.12596,0.17302,0.09693,0.1061,0.1142,2.8275281736977593,0.38738689725518105,5.595799991724927,2.0758382195877423,8.673961994602323,1.2067141349615391
2719.9212079602394,0.084,0.03698,0.03409,0.09502,0.10597999999999999,0.12689,0.20293,0.07302,0.11308,0.12801,2.676518893454186,0.35282313242309254,5.87988804426857,3.6479229835592415,6.025804449064397,1.7026959564644006
2800.611162751689,0.09397,0.04103,0.04194,0.109,0.11778,0.124,0.16111999999999999,0.08318,0.10300000000000001,0.12498000000000001,2.9636014266523967,1.0166392833033302,5.006606087946564,0.9242971257680828,8.491523746801183,2.343200530965055
2798.9376407782956,0.08004,0.04899,0.05397,0.09905,0.13090000000000002,0.10696,0.16809000000000002,0.08601,0.11295,0.11304,1.7900895286761969,0.3607454785188265,6.793617490513017,0.9055947657754843,7.987300220284683,2.1539827541092325
2739.854037709202,0.06303,0.04903,0.04395,0.10398,0.09598999999999999,0.11502,0.17497000000000001,0.07905,0.13393,0.14105,1.1721714079874923,0.3773860967547943,5.821363780453689,1.8192567193431672,8.741306687244135,1.9740126664306838
2686.334391402884,0.08695,0.03998,0.05598,0.104,0.11616,0.12797,0.16593,0.06908,0.10801,0.12594,1.4145739073215329,0.83083786200763,5.526746130920847,2.790799149534835,9.460344244668693,1.2042719779575544
2693.814154717882,0.09196,0.02799,0.05002,0.08887,0.11107,0.13499,0.18707000000000001,0.06406,0.12104000000000001,0.12293000000000001,2.036130095008414,1.1058245869064622,7.1194745227161444,2.0853109725055194,5.947545722102471,1.452094859565253
2577.216873216471,0.09403,0.04102,0.04401,0.08501,0.11904,0.12902,0.17093,0.08701,0.10696,0.12297,6.193456707982632,9.99996147524891e-09,6.490167569951685,0.7126389463623501,4.614915982540182,2.1675404693552816
