nll,pi_aa,pi_ac,pi_ag,pi_at,pi_ca,pi_cc,pi_cg,pi_ct,pi_ga,pi_gc,pi_gg,pi_gt,pi_ta,pi_tc,pi_tg,pi_tt,s_0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11
35304.781571990905,0.08604,0.05608,0.069,0.08994,0.05603,0.04994,0.04198,0.06202,0.07,0.04197,0.04101,0.06399,0.06992,0.05604,0.05702,0.08902,4.162690141800738,0.0,0.0,0.0,0.0,4.815101150621963,2.4885368539566377,0.8101619460067119,0.0,0.0,3.8641573780918708,0.33460388065525704
39457.049504192044,0.08305,0.07801,0.065,0.08801,0.0659,0.04197,0.02802,0.06501,0.04999,0.03403,0.05096,0.066,0.08112,0.05499,0.053,0.09494,4.471529451762371,1.0035108469026719e-10,1.0035108469026719e-10,1.0035108469026719e-10,1.0035108469026719e-10,6.106317266612797,1.8383858251394718,0.7794782446500037,1.0035108469026719e-10,1.0035108469026719e-10,3.3322664523788856,1.0035108469026719e-10
33832.983837880805,0.083,0.04303,0.07099,0.094,0.05203,0.04102,0.04602,0.06195,0.05297,0.032,0.043,0.062,0.07201,0.06298,0.06599,0.11701,6.124848859429672,0.0,0.0,0.0,0.0,4.743048455432548,1.8149565715747809,0.0,0.0,0.7211617092444292,3.380385752756569,0.5124323227987094
36009.73260724047,0.09302,0.04602,0.06602,0.08702,0.05897,0.05099,0.04701,0.059,0.05401,0.039,0.04,0.06497,0.08602,0.04398,0.068,0.09597,4.197017574447517,0.0,0.0,0.0,0.0,5.78331199854219,2.4624801680887405,0.634208114786048,0.0,0.42309502415573774,3.827410128023439,0.0
35522.85595094846,0.08102,0.05701,0.06099,0.096,0.05799,0.04302,0.03496,0.06202,0.06003,0.04203,0.04002,0.05496,0.08097,0.06597,0.06503,0.09798,4.361110907372559,0.0,0.0,0.0,0.0,4.5796801193765955,2.1216735608012454,0.0,0.0,0.0,4.797956055043322,0.5056856301222677
39661.15614205604,0.08392,0.06195,0.06607,0.08488,0.07006,0.04299,0.035,0.04697,0.06101,0.041,0.03601,0.06699,0.08306,0.05803,0.06596,0.0961,4.153386464923083,0.0,0.0,0.0,0.0,1.863412836166401,4.236448608189122,0.4455610883012207,0.3139602482826792,1.2719579305954172,3.560475066486839,1.081868319357992
37888.506446876934,0.076,0.065,0.05398,0.08302,0.05393,0.03002,0.05403,0.07591,0.05804,0.042,0.05099,0.066,0.0691,0.06495,0.06702,0.09001,4.419377204352857,0.0,0.0,0.0,0.0,4.394341638163426,1.2915780743646812,0.8469389913997509,0.0,0.5069894229258674,4.66139209824066,0.3329026545092354
38588.1742000576,0.07808,0.05905,0.059,0.08594,0.06601,0.03396,0.03807,0.05298,0.06498,0.03501,0.04898,0.06902,0.08492,0.06796,0.06203,0.09401,4.91668202072702,0.0,0.0,0.0,0.0,3.1858472536883466,3.6902711745874988,1.2622973601930123,0.0,0.4584424519904648,2.793372068933949,0.7434397246510135
37699.71261897973,0.07494,0.06093,0.07295,0.08109,0.06999,0.03402,0.036,0.06198,0.05703,0.044,0.043,0.061,0.09406,0.06799,0.05902,0.082,4.460271887129218,9.969089238769752e-11,9.969089238769752e-11,9.969089238769752e-11,9.969089238769752e-11,5.634724921577128,1.9630059787442153,0.968342267287888,9.969089238769752e-11,9.969089238769752e-11,3.0089203793600663,0.4942218470295605
37837.00219956293,0.08902,0.06902,0.052,0.07292,0.06401,0.044,0.02902,0.06001,0.07196,0.04201,0.04499,0.06008,0.08798,0.06195,0.05798,0.09305,4.793171878400253,1.1007885075612744e-10,1.1007885075612744e-10,1.1007885075612744e-10,1.1007885075612744e-10,4.738804386260507,3.105133337946532,0.41267062495163176,1.1007885075612744e-10,1.1007885075612744e-10,2.587717192756228,0.4773078450552493
39436.725311012175,0.07596,0.06793,0.05906,0.07502,0.06598,0.04302,0.05,0.05502,0.056,0.04105,0.03199,0.06097,0.08899,0.06104,0.06796,0.10001,5.433766774057121,9.971423888177766e-11,9.971423888177766e-11,9.971423888177766e-11,9.971423888177766e-11,2.878623473729942,3.4125505286204993,1.2827030216654225,9.971423888177766e-11,0.5682076432278933,3.0964480749140044,9.971423888177766e-11
37599.16805551252,0.08103,0.06297,0.06699,0.10198,0.05605,0.04098,0.031,0.05397,0.065,0.04296,0.035,0.06706,0.08194,0.06709,0.063,0.08298,4.149818188717452,1.0113328663727628e-10,1.0113328663727628e-10,1.0113328663727628e-10,1.0113328663727628e-10,5.456240044897079,1.779226940032822,1.158792722421646,1.0113328663727628e-10,1.0113328663727628e-10,3.4986887050832265,0.39718457600628676
35104.26016107412,0.07,0.05598,0.05299,0.09103,0.06892,0.05692,0.03899,0.05605,0.07496,0.04006,0.039,0.05099,0.07809,0.0711,0.05599,0.09893,4.835480580310967,0.0,0.0,0.0,0.0,3.7798885410560943,1.2689172074292463,2.2133817844730905,0.0,0.4719893185157306,3.005564316289596,0.9426397636367465
39121.39382540029,0.07601,0.068,0.068,0.08094,0.05894,0.03506,0.031,0.06204,0.05403,0.049,0.035,0.065,0.11092,0.05501,0.06796,0.08309,4.295627712750916,0.0,0.0,0.0,0.0,5.633653815292258,1.7763134825787,0.3865160584731053,0.24552789565389793,0.0,3.637271168248214,0.47101543278269986
33082.00019554472,0.08997,0.05396,0.06198,0.07604,0.06,0.04898,0.03999,0.05295,0.07202,0.04299,0.04,0.04802,0.09798,0.05702,0.054,0.1041,4.784509167515337,0.0,0.0,0.0,0.0,4.798704283643105,1.394801451203243,0.3321215499722802,0.0,0.3539124453240866,4.506499722227429,0.7258363294187842
40007.428118400545,0.08299,0.06804,0.05702,0.08094,0.07407,0.04196,0.04198,0.05703,0.06001,0.03397,0.047,0.06603,0.08596,0.06296,0.059,0.08104,4.904087907679269,1.0241482640637131e-10,1.0241482640637131e-10,1.0241482640637131e-10,1.0241482640637131e-10,4.800089122156198,0.9277577781985841,0.7993210244014471,1.0241482640637131e-10,0.420425166710738,4.420156713750456,0.37183515612537804
37124.52877424158,0.07602,0.04501,0.05999,0.09597,0.07102,0.03608,0.05097,0.06295,0.05601,0.043,0.04197,0.06803,0.08391,0.06399,0.06201,0.08307,5.013109937741378,1.0121633013493644e-10,1.0121633013493644e-10,1.0121633013493644e-10,1.0121633013493644e-10,5.5173333298772596,1.9456427703370802,1.0121633013493644e-10,1.0121633013493644e-10,0.43025593035592186,3.146021521510615,0.7412707982929082
39842.0564861731,0.08502,0.05798,0.046,0.08001,0.07403,0.03997,0.04299,0.06496,0.06,0.045,0.05099,0.07301,0.07496,0.04901,0.06102,0.09505,4.796153612771814,1.0043352926042374e-10,1.0043352926042374e-10,1.0043352926042374e-10,1.0043352926042374e-10,5.0049725072506375,0.6429593520932998,1.0043352926042374e-10,1.0043352926042374e-10,1.0043352926042374e-10,5.210408115203402,0.6881158051664265
34468.36293015182,0.09203,0.05602,0.04996,0.07901,0.05003,0.04298,0.04203,0.05993,0.061,0.04702,0.04297,0.04901,0.08495,0.059,0.071,0.11306,4.355337397907665,0.0,0.0,0.0,0.0,4.877495621508142,1.2808255236888972,1.00697069780161,0.0,0.7233274817231057,4.519092146980988,0.0
