nll,pi_a,pi_c,pi_g,pi_t,s_0,s_1,s_2,s_3,s_4,s_5
1682.2688225415602,0.291525,0.207,0.21299,0.288485,0.9062295185901574,9.999999991743072e-09,2.9059533703048905,0.3086099361011826,2.922627050529001,0.20808304840502634
1641.341664847704,0.297065,0.20495,0.19898,0.299005,0.9944652680430762,9.999999743199835e-09,2.3430100851880966,0.3813967293934139,2.7146964291402735,0.8307266323742976
1601.9960829236736,0.275515,0.190025,0.207985,0.326475,1.3634989425111543,0.3103491816948642,1.994071491821972,0.4474559883248385,2.874105618925708,0.5224701532051503
1635.7171331782502,0.29205,0.19798,0.209505,0.300465,1.6114538081378824,9.999999817440327e-09,1.9567538688747306,9.999999817440327e-09,2.913307636599836,0.9820299731600933
1591.2811709380078,0.287515,0.20301,0.19902,0.310455,2.246467901654751,1.0000000548154091e-08,1.6404426779391192,0.47098012431473646,2.932389212514387,0.3011372485894034
1651.810106486107,0.297435,0.199495,0.204025,0.299045,1.2667349973253257,9.999999517600299e-09,2.2219961668111563,0.719846756711588,2.0786400254229545,1.2110714368489792
1629.1705524320284,0.267535,0.20793,0.221525,0.30301,1.422914583411136,9.999999727441206e-09,2.1470479942550784,0.36636373377635434,3.1129667850680844,0.5033319555303322
1702.0675827474606,0.28803,0.1935,0.213035,0.305435,0.9362333375240861,0.21714127080253487,2.0737985502537906,0.6216623547750916,2.7494665381821033,0.9825143779617544
1585.0971243948231,0.292965,0.204465,0.208,0.29457,0.6648078291474993,0.32312851566866485,1.395601690406709,0.9282400799226821,4.329361380773517,0.32343772327402703
1645.1489054117208,0.297965,0.20701,0.201515,0.29351,0.5089299611207531,0.5057779125573455,2.2025427866235345,0.7572970263999926,2.7881803007629866,0.7543057258633059
1694.7793831059887,0.28245,0.21353,0.19951,0.30451,0.8656639327083697,0.475232651490673,1.8429347768164899,0.6222283370684626,3.2176780117336765,0.44070310176074773
1565.3857454304311,0.298495,0.198,0.203005,0.3005,0.7298046646923265,0.35566154102505965,1.8625897874003243,9.99999951742831e-09,3.1203610854584247,1.353817717557026
1638.327232210392,0.280985,0.22247,0.19599,0.300555,1.7230303512832326,1.0000000417415724e-08,0.889915180387079,0.3790941438790841,3.529290179846534,1.0970765086334489
1603.4005756760957,0.296425,0.197055,0.202495,0.304025,0.9099842235928176,1.0000000137699152e-08,2.381903491125753,1.3093132164664878,2.710783156944702,0.2849129062686528
1628.3393580661052,0.30096,0.202435,0.1995,0.297105,0.5231568035732058,1.0000000141169691e-08,1.7320489214814505,1.6088941824961687,3.866866512671563,0.2649731735898792
1613.488424592557,0.29601,0.210985,0.206005,0.287,1.383197488353196,0.5546381688785189,1.9704474551730822,1.0000000707884206e-08,3.2215344409201636,0.2929626810235274
1653.2580737569388,0.281975,0.20455,0.211975,0.3015,0.5188472619402469,1.000000000111017e-08,1.8603840473608704,1.0433687691809956,3.1515239636961208,1.1314635029418092
1653.5303551069105,0.28151,0.206955,0.215,0.296535,1.0363378111005794,1.0000000408172323e-08,2.201039078362509,0.3301508565306358,3.445601367829147,0.4664888703975936
1618.5147126849336,0.282515,0.199995,0.20298,0.31451,0.874865641893431,1.0000000205219821e-08,2.047433350798562,1.2414927516075418,3.202695263838369,0.263117209278552
1633.6410462263934,0.295015,0.20198,0.211,0.292005,0.8064391756906318,0.2663489339829355,2.4953927551017947,0.36992390952297816,3.469594318717129,9.999999944087577e-09
1584.727175306414,0.299495,0.1946,0.20854,0.297365,0.9850579242470083,9.99999987191046e-09,2.636528940192924,0.9274602841187076,2.940239861003124,9.99999987191046e-09
1564.2413228471362,0.30656,0.19354,0.188505,0.311395,1.6808482730573706,0.36072929577213453,2.5453419855527595,9.999999604828167e-09,2.26399648559058,9.999999604828167e-09
1570.8020908528244,0.30399,0.19367,0.20705,0.29529,0.3661629363203451,1.0000000415118481e-08,2.5649964111553176,0.9936239732372707,3.3048248799444604,0.31652817248212617
1629.141859828403,0.30356,0.201485,0.195995,0.29896,1.334768177846193,0.26857447854125127,2.3022089355971973,0.4068908950662796,2.682460131653469,0.269704482682029
1625.7692211222054,0.28445,0.20065,0.21004,0.30486,1.1233317907905696,9.999999759371392e-09,2.901184100416862,0.3894691800605396,2.4821468095583135,0.2507375934946261
1594.2023099587727,0.294515,0.214655,0.19049,0.30034,1.1483150080571678,9.999984385807419e-09,2.608810727161803,9.999984385807419e-09,2.46753388984112,0.6565520644283047
1551.5469854935216,0.278485,0.20021,0.230475,0.29083,0.4348013611269703,1.00001487982914e-08,1.7872005927498296,0.530212469581195,4.4351430299003285,0.7205481172707824
