nll,pi_aa,pi_cc,pi_gg,pi_tt,pi_ac,pi_ag,pi_at,pi_cg,pi_ct,pi_gt,"q_{1,2}","q_{1,3}","q_{1,4}","q_{1,5}","q_{1,6}","q_{1,7}","q_{1,8}","q_{1,9}","q_{1,10}","q_{2,3}","q_{2,4}","q_{2,5}","q_{2,6}","q_{2,7}","q_{2,8}","q_{2,9}","q_{2,10}","q_{3,4}","q_{3,5}","q_{3,6}","q_{3,7}","q_{3,8}","q_{3,9}","q_{3,10}","q_{4,5}","q_{4,6}","q_{4,7}","q_{4,8}","q_{4,9}","q_{4,10}","q_{5,6}","q_{5,7}","q_{5,8}","q_{5,9}","q_{5,10}","q_{6,7}","q_{6,8}","q_{6,9}","q_{6,10}","q_{7,8}","q_{7,9}","q_{7,10}","q_{8,9}","q_{8,10}","q_{9,10}"
-27437.493461,0.085704,0.03908,0.041361,0.092647,0.114494,0.120563,0.176862,0.084442,0.126182,0.118664,0.001,0.001,0.001,1.952485,0.259015,7.454511,0.001,0.001,0.001,0.001,0.001,1.952485,0.001,0.001,1.0,8.195763,0.001,0.001,0.001,0.259015,0.001,1.0,0.001,1.659817,0.001,0.001,7.454511,0.001,8.195763,1.659817,1.0,8.195763,0.259015,7.454511,0.001,1.659817,1.952485,0.001,7.454511,0.001,1.952485,0.259015,1.659817,8.195763,1.0
-27172.853936,0.087104,0.036618,0.036999,0.089736,0.117958,0.124382,0.180365,0.084442,0.121115,0.12128,0.001,0.001,0.001,1.547744,0.195013,4.196601,0.001,0.001,0.001,0.001,0.001,1.547744,0.001,0.001,1.0,5.441486,0.001,0.001,0.001,0.195013,0.001,1.0,0.001,0.851757,0.001,0.001,4.196601,0.001,5.441486,0.851757,1.0,5.441486,0.195013,4.196601,0.001,0.851757,1.547744,0.001,4.196601,0.001,1.547744,0.195013,0.851757,5.441486,1.0
-27413.493858,0.088645,0.039837,0.04447,0.091258,0.117892,0.122223,0.180164,0.080178,0.123652,0.111681,0.001,0.001,0.001,1.600932,0.341397,4.340347,0.001,0.001,0.001,0.001,0.001,1.600932,0.001,0.001,1.0,5.000631,0.001,0.001,0.001,0.341397,0.001,1.0,0.001,1.108352,0.001,0.001,4.340347,0.001,5.000631,1.108352,1.0,5.000631,0.341397,4.340347,0.001,1.108352,1.600932,0.001,4.340347,0.001,1.600932,0.341397,1.108352,5.000631,1.0
-27285.016599,0.087531,0.040748,0.043705,0.089606,0.118498,0.122097,0.172156,0.080429,0.122164,0.123067,0.001,0.001,0.001,1.315083,0.287826,4.541306,0.001,0.001,0.001,0.001,0.001,1.315083,0.001,0.001,1.0,5.398937,0.001,0.001,0.001,0.287826,0.001,1.0,0.001,0.999031,0.001,0.001,4.541306,0.001,5.398937,0.999031,1.0,5.398937,0.287826,4.541306,0.001,0.999031,1.315083,0.001,4.541306,0.001,1.315083,0.287826,0.999031,5.398937,1.0
-27488.51727,0.087473,0.04328,0.045916,0.092681,0.123072,0.117694,0.168838,0.083437,0.115824,0.121784,0.001,0.001,0.001,2.465104,0.304576,5.2434,0.001,0.001,0.001,0.001,0.001,2.465104,0.001,0.001,1.0,6.175579,0.001,0.001,0.001,0.304576,0.001,1.0,0.001,1.156444,0.001,0.001,5.2434,0.001,6.175579,1.156444,1.0,6.175579,0.304576,5.2434,0.001,1.156444,2.465104,0.001,5.2434,0.001,2.465104,0.304576,1.156444,6.175579,1.0
-27677.246694,0.084813,0.042175,0.042012,0.09462,0.11556,0.121453,0.181084,0.080126,0.111863,0.126294,0.001,0.001,0.001,1.519197,0.118846,4.32884,0.001,0.001,0.001,0.001,0.001,1.519197,0.001,0.001,1.0,4.553318,0.001,0.001,0.001,0.118846,0.001,1.0,0.001,0.892845,0.001,0.001,4.32884,0.001,4.553318,0.892845,1.0,4.553318,0.118846,4.32884,0.001,0.892845,1.519197,0.001,4.32884,0.001,1.519197,0.118846,0.892845,4.553318,1.0
-27415.47162,0.086847,0.044218,0.047432,0.094746,0.117905,0.119592,0.169065,0.081703,0.120087,0.118404,0.001,0.001,0.001,1.767902,0.375891,5.128297,0.001,0.001,0.001,0.001,0.001,1.767902,0.001,0.001,1.0,5.058593,0.001,0.001,0.001,0.375891,0.001,1.0,0.001,1.224983,0.001,0.001,5.128297,0.001,5.058593,1.224983,1.0,5.058593,0.375891,5.128297,0.001,1.224983,1.767902,0.001,5.128297,0.001,1.767902,0.375891,1.224983,5.058593,1.0
-27479.047349,0.086679,0.041677,0.039903,0.084828,0.116183,0.122955,0.172128,0.083891,0.12406,0.127695,0.001,0.001,0.001,0.840891,0.060359,3.106852,0.001,0.001,0.001,0.001,0.001,0.840891,0.001,0.001,1.0,4.54673,0.001,0.001,0.001,0.060359,0.001,1.0,0.001,0.722889,0.001,0.001,3.106852,0.001,4.54673,0.722889,1.0,4.54673,0.060359,3.106852,0.001,0.722889,0.840891,0.001,3.106852,0.001,0.840891,0.060359,0.722889,4.54673,1.0
-27265.597553,0.090167,0.040562,0.042479,0.09206,0.121336,0.120902,0.175995,0.079284,0.120044,0.11717,0.001,0.001,0.001,1.70739,0.214719,4.538911,0.001,0.001,0.001,0.001,0.001,1.70739,0.001,0.001,1.0,5.988807,0.001,0.001,0.001,0.214719,0.001,1.0,0.001,0.823702,0.001,0.001,4.538911,0.001,5.988807,0.823702,1.0,5.988807,0.214719,4.538911,0.001,0.823702,1.70739,0.001,4.538911,0.001,1.70739,0.214719,0.823702,5.988807,1.0
-27047.243798,0.087199,0.040472,0.045904,0.088337,0.113897,0.128589,0.180131,0.08324,0.113159,0.119075,0.001,0.001,0.001,1.593677,0.34847,6.523863,0.001,0.001,0.001,0.001,0.001,1.593677,0.001,0.001,1.0,6.844492,0.001,0.001,0.001,0.34847,0.001,1.0,0.001,1.617971,0.001,0.001,6.523863,0.001,6.844492,1.617971,1.0,6.844492,0.34847,6.523863,0.001,1.617971,1.593677,0.001,6.523863,0.001,1.593677,0.34847,1.617971,6.844492,1.0
