nll,pi_aa,pi_ac,pi_ag,pi_at,pi_ca,pi_cc,pi_cg,pi_ct,pi_ga,pi_gc,pi_gg,pi_gt,pi_ta,pi_tc,pi_tg,pi_tt,s_0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11
355384.597458698,0.08561,0.057301,0.06221,0.088496,0.057113,0.038713,0.040958,0.060929,0.059105,0.043503,0.041,0.060306,0.08907,0.065169,0.05898,0.091537,1.9013733103495583,0.7757566451162131,0.9556526762240084,0.8178357035910097,0.8796238342770858,2.983055035757377,3.933419719869401,0.9677212640220108,0.6451477500868408,0.8908119646874023,0.9802088562616621,0.668102272611457
363728.74484613666,0.08676,0.060534,0.059704,0.091497,0.058579,0.035208,0.041404,0.062128,0.065095,0.04278,0.036609,0.059906,0.09035,0.058239,0.061289,0.089918,4.349072302774168,1.9440740714039304,0.14398535482508767,0.08697128395185147,1.3129587456552603,2.04306243958097,1.5037913387946837,0.7612232029869506,0.31011317081501877,0.15041537069754432,2.401596096778003,1.5539146622380555
351078.1006505223,0.088189,0.060125,0.062879,0.088235,0.059288,0.038837,0.040616,0.060198,0.060004,0.038916,0.043892,0.055897,0.092624,0.063653,0.055703,0.090944,3.309593806424767,3.080448777701154,0.9000186343249253,0.23894630888958732,0.37843347228678753,1.7907821026346393,0.6859148884956322,0.3076315256523339,0.30316500671771773,0.45071724210081665,3.520037923503475,1.3820531950752892
366447.0075807268,0.087504,0.058864,0.065805,0.086309,0.060761,0.039623,0.03924,0.063865,0.057207,0.04217,0.043011,0.062127,0.086698,0.057912,0.060596,0.088308,2.0665578259389705,0.7386857254798634,0.8425682248769057,0.9133982775914234,1.3389858386160838,1.2314034830391332,0.9097343600559559,0.866709491543737,2.507045388171558,1.049262599172549,0.9761408560552166,2.170218033003926
374414.9236979323,0.08625,0.064197,0.059412,0.081917,0.060888,0.04249,0.041625,0.057398,0.058507,0.041401,0.045505,0.063892,0.087228,0.05847,0.058973,0.091847,2.4848621683455336,0.9788087713532533,1.0331453732578053,1.0193583782175135,1.1442903461327438,1.128655010503044,0.9792197248124027,1.4893006667199473,1.7855392677440338,1.2282985125837638,1.1423307793674773,1.6038149356476716
367528.81794573937,0.084442,0.056978,0.06212,0.092477,0.059904,0.040919,0.043003,0.054972,0.060694,0.037264,0.041807,0.061933,0.090499,0.056479,0.063685,0.092824,1.4137052857449202,1.957238140967332,1.2120641294673926,1.252717099776789,1.2118970438931105,1.212090650854822,1.2120657493771168,1.2119763452639791,1.2118967240912022,1.2120903722830567,1.2119979844100326,1.9179398242670491
360584.72199246427,0.086406,0.059301,0.060407,0.082703,0.059788,0.0427,0.037516,0.06192,0.059379,0.044191,0.047202,0.056868,0.088298,0.057127,0.061895,0.094299,2.258736684772597,1.07887923854082,0.5526012365740801,0.8053452743333442,0.4633799213882373,0.37347091710364577,1.8262358803225336,0.6947309380931054,0.7604891069431139,0.8202104378305209,1.0936214748507196,5.752893018080085
373780.9614555994,0.085326,0.061163,0.063344,0.08671,0.05709,0.040585,0.040594,0.061296,0.0606,0.04301,0.039902,0.064186,0.085803,0.061506,0.064765,0.08412,2.5274834274676103,1.1291570282551038,0.24567588175762875,0.38238097875654997,2.0721420138978575,1.3166098757892954,1.2085644591827938,0.21254829731698688,2.964474873434402,0.8812714962785544,1.3395697897950827,1.3213073858645723
364117.93422156665,0.089228,0.061401,0.061697,0.082986,0.061278,0.039327,0.038415,0.060975,0.060704,0.040605,0.042095,0.056503,0.093907,0.059421,0.061182,0.090276,2.76745180058686,1.6816569358717095,0.7583608202726994,2.417768105022174,7.815692216692673e-08,1.2204629685840258,2.2598129128824946,2.9671824189694234,0.43431278566446946,0.8763996743813979,1.1631295192723778,0.5620318719156293
356129.38536461466,0.087688,0.059109,0.065423,0.091391,0.056129,0.039801,0.04121,0.054784,0.062799,0.04191,0.045801,0.057533,0.089578,0.057974,0.061798,0.087072,1.8439958168797328,0.8857169783974278,2.214059445638417,0.6665800089318761,0.6884656140094438,2.0145883448570063,0.8888219713852628,0.8944739778210368,0.9442394202105001,1.3310941812245636,1.774822881679814,1.567160347061783
