nll,pi_aa,pi_cc,pi_gg,pi_tt,pi_ac,pi_ag,pi_at,pi_cg,pi_ct,pi_gt,s_0,s_1,s_2,s_3,s_4,s_5
27443.71022950687,0.08561,0.038713,0.041,0.091537,0.11441399999999999,0.121315,0.177566,0.08446100000000001,0.126098,0.119286,1.8511953527803653,0.24569809222865072,7.088519700095523,0.9562430817638145,7.782828871381833,1.575546217333593
27177.30968462359,0.08676,0.035208,0.036609,0.089918,0.119113,0.124799,0.18184699999999998,0.08418400000000001,0.120367,0.121195,2.3083426269002625,0.2900655930323615,6.231685975675515,1.5008567837561424,8.095559543331463,1.2655426015168616
27433.897027306873,0.088189,0.038837,0.043892,0.090944,0.11941299999999999,0.122883,0.180859,0.07953199999999999,0.123851,0.1116,2.3681787546529294,0.5045912460236756,6.417641045182834,1.4914617817980216,7.396284321697662,1.6403709854075246
27270.86801233019,0.087504,0.039623,0.043011,0.088308,0.11962500000000001,0.12301200000000001,0.173007,0.08141,0.121777,0.122723,1.9268069270882429,0.42152214855423314,6.675049634034635,1.4765765832582545,7.926706925061013,1.4685352657095414
27496.852760885973,0.08625,0.04249,0.045505,0.091847,0.125085,0.117919,0.169145,0.083026,0.115868,0.122865,3.026056479221491,0.37385762307810194,6.431427026695731,1.2275950099413433,7.551929799990305,1.4174042545811345
27667.25133016412,0.084442,0.040919,0.041807,0.092824,0.116882,0.122814,0.182976,0.080267,0.111451,0.125618,2.418069916509698,0.18831789450671851,6.902743947062396,1.6046002024197832,7.268392930244356,1.4250410622932401
27406.981566509203,0.086406,0.0427,0.047202,0.094299,0.119089,0.119786,0.17100100000000001,0.081707,0.119047,0.11876300000000001,2.42601170950504,0.5142386259833136,7.011897419726247,1.3806524668474789,6.939331742211096,1.6775713597362
27479.08847084361,0.085326,0.040585,0.039902,0.08412,0.118253,0.123944,0.172513,0.083604,0.122802,0.128951,1.6531410035375216,0.1177209452390923,6.086901256235167,1.973290889897109,8.883548845611836,1.4174123124208506
27259.296667788753,0.089228,0.039327,0.042095,0.090276,0.122679,0.12240100000000001,0.17689300000000002,0.07902,0.120396,0.117685,2.373070542338914,0.297156529690488,6.311054736692304,1.3877793459083088,8.323275344473469,1.1421676018640898
27055.215575856884,0.087688,0.039801,0.045801,0.087072,0.11523800000000001,0.128222,0.180969,0.08312,0.112758,0.11933099999999999,1.766315498429947,0.3864708394788296,7.229841724772634,1.113073510974319,7.567544856978587,1.7925389849863635
