nll,pi_aa,pi_cc,pi_gg,pi_tt,pi_ac,pi_ag,pi_at,pi_cg,pi_ct,pi_gt,s_0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,s_22,s_23
27448.083781038484,0.092058,0.036996,0.041599,0.092379,0.111965,0.122124,0.173831,0.082118,0.12354799999999999,0.123382,1.452915743793596,0.3299121818055993,7.496126161372599,3.1800505122430702,3.0133152185208516,16.541034052131273,0.7331892611298509,2.1643414285029015,3.6477846904716316,8.633153095775555,8.590839402999553,3.2875449657431393,0.6853114358610715,5.687263251329954,0.4070908077413144,5.431727550400815,0.7044982560262304,2.421756186504506,5.21607707306899,1.5701670286059195,1.0011343376202485e-10,2.393658886820327,7.614655854565623,0.49156197670146573
27485.633488940715,0.090785,0.040771,0.040471,0.091569,0.115902,0.121192,0.178738,0.083404,0.11684800000000001,0.12032000000000001,3.931594015731977,0.17188146905561313,7.752601965593992,6.03452474049983,2.748573454451824,13.298830784398833,0.3752025782992865,6.151803612554027,3.421392409600099,5.635412518656869,9.415664744961648,2.042325164350797,0.9318253220200747,5.2652122741334475,0.3914648360397811,4.843219163692628,0.6073246270285215,2.2261359910475274,5.815628909978735,1.897425378741262,0.25889095950969215,0.5632818092527695,10.060054636995517,0.8065198048710484
27501.129498246766,0.086195,0.039394,0.041901,0.087101,0.115707,0.12823400000000001,0.171489,0.086974,0.118115,0.12489,2.6147254929155697,0.33735335115648285,9.255337902460397,4.86647666412585,1.1227122059257992,13.070607705441622,1.0423282404777336,3.524078895282365,1.7818276669884872,7.694935089038298,11.331917013437929,1.8801601978702618,1.3706982079355468,6.2648764917362385,9.993135136900092e-11,6.134547832837816,0.9296455532386344,2.8257407769545804,4.295540761456651,1.102330438414966,0.17466062917075956,1.4522564865861571,6.0140063073738705,0.7623089639842028
27343.032364066403,0.081432,0.037115,0.042497,0.091554,0.115758,0.122584,0.176479,0.080779,0.124454,0.12734800000000002,1.4325514081736437,0.7720954093600824,8.267434960316242,3.993406373627942,5.135000104935257,14.454866461324137,9.990107210838066e-11,3.8730543215226505,2.1174818963942195,7.645187860603085,9.599260734426212,1.6359710948639805,0.9430127679549292,5.512353498989873,9.990107210838066e-11,4.920977959045347,0.8034191550482377,1.7567239657118765,4.669258767685477,1.817255997426354,0.17248849538645242,1.7002283909275087,9.29166184921867,1.4451305522124112
26979.138685245176,0.088901,0.040823,0.041702,0.091315,0.117072,0.119382,0.176416,0.08460100000000001,0.118089,0.121699,2.8744336185121226,0.39305722516196795,7.770764946381819,5.261314358632401,4.829117034776881,13.847678401310786,1.0000601987637617e-10,5.472111711818485,3.320060553055881,7.932709349266904,8.627554583068667,1.6961450542499528,1.053990021421068,6.098592720045744,0.4224370329162499,6.261111281884334,0.8007107054480289,1.8745863111020327,3.9255519884992984,0.9133877308896889,1.0000601987637617e-10,1.9025216124135276,8.636248935167206,0.5856313159834301
27238.43500862866,0.088581,0.038888,0.042505,0.088224,0.115624,0.124713,0.170382,0.088364,0.119487,0.123232,2.749574516037161,0.7248721880728927,6.63987819681195,3.1585887674303113,1.1759057340226593,16.889521757732822,0.37712603321196325,2.1425302351198283,3.048854181681051,7.460771147737489,12.444335928425435,1.654392325451211,0.6904690551384549,6.314144841412141,1.0010962188979988e-10,6.790654319225677,0.5650567285536239,1.9938524696330124,4.696033365675481,1.4728068455112453,0.28611966218567,1.5141666577516542,7.467634267546056,0.811617623514871
27103.92486481021,0.086498,0.035995,0.040608,0.08936,0.116707,0.124223,0.171416,0.085841,0.12110499999999999,0.128247,3.22810238559717,0.18751132203531948,5.881924394152797,3.704946364758775,3.9860928763208325,13.573271857179005,0.7978338615946337,4.675957664058663,2.3370345172588958,8.44258740094553,9.428262354377804,1.4157828511451267,0.7018066837796958,5.996110630130318,0.20589819802232842,6.3617167655078815,1.0429887346876567,1.525307376550186,4.856122147760641,1.9563755282269268,9.999051786932848e-11,1.747739345334858,9.451973008073901,0.661895563304431
27104.843470425876,0.088039,0.035913,0.041717,0.092419,0.121508,0.121288,0.17219099999999998,0.077584,0.121821,0.12752,5.105139770911734,0.3803679562200594,7.313928210173487,5.03228746846004,3.3982058253873753,15.536402053750288,0.39400237179844194,3.02849437701206,3.0109055762009924,8.604541209992378,11.007497370582803,1.5446882744349244,0.2738244975421313,5.015015925766836,1.0004390246938317e-10,5.049443613534383,0.4838780790868277,2.362390800161227,4.441130729229195,1.3480723848272138,0.27770011437656206,1.7117528965991824,7.553473871580344,0.9115475871673633
27236.787852364047,0.085705,0.037382,0.044106,0.089012,0.115561,0.12320300000000001,0.178222,0.08268500000000001,0.11963,0.124494,2.3946147632069574,0.19121630734704892,7.13010373234126,3.077341762686425,0.6457135545503138,19.312257388077725,1.0798207793085408,2.69165748211533,3.980788179090357,8.104041567574278,9.867997088372517,1.6025649993180047,1.11531043542879,4.896816718605438,0.8307179244113404,6.245954554767366,1.0795391565455452,1.7721274943507688,6.203528038113567,1.3012635422903056,0.08881450612140573,1.0075289997844112,6.733409868343915,1.1980495442976822
27318.19197272988,0.091164,0.03798,0.041603,0.085397,0.12172,0.125085,0.173048,0.087223,0.116485,0.12029500000000001,2.448624915044381,0.16856399985148543,9.053636099635721,6.358681598373751,1.1848604287412492,15.292783796773021,0.3699148036621082,0.5243445693635935,2.6884858649392656,6.031938286026771,10.8301158005019,1.8754986641786453,0.8948643429126432,6.170980381167048,0.1798733115997568,5.7535631170508825,1.0731972785154167,2.111166091455185,4.354643963406197,1.9124986989289903,0.09315616687180492,0.9322314238568464,8.52354178157393,1.0993077802088493
