nll,pi_aa,pi_cc,pi_gg,pi_tt,pi_ac,pi_ag,pi_at,pi_cg,pi_ct,pi_gt,s_0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,s_22,s_23,s_24,s_25,s_26,s_27,s_28,s_29,s_30,s_31,s_32,s_33,s_34,s_35,s_36,s_37,s_38,s_39,s_40,s_41,s_42,s_43,s_44
27427.780852564963,0.08561,0.038713,0.041,0.091537,0.11441399999999999,0.121315,0.177566,0.08446100000000001,0.126098,0.119286,1.0000015423671325e-08,1.0000015423671325e-08,1.0000015423671325e-08,1.7357569488379896,0.18138219656498006,7.932400223178607,1.0000015423671325e-08,1.0000015423671325e-08,1.0000015423671325e-08,1.0000015423671325e-08,1.0000015423671325e-08,3.369659104224297,1.0000015423671325e-08,1.0000015423671325e-08,1.6949562926719342,12.771701523617066,1.0000015423671325e-08,1.0000015423671325e-08,1.0000015423671325e-08,0.3758549795211679,1.0000015423671325e-08,2.8060983401490236,1.0000015423671325e-08,3.472135638193594,1.0000015423671325e-08,1.0000015423671325e-08,7.895771839459395,1.0000015423671325e-08,8.43884375983788,1.5606180856009935,0.8167131106676839,6.525576086604792,0.19902728507027978,6.446692795286283,1.0000015423671325e-08,1.489574880015715,2.038064237569248,1.0000015423671325e-08,5.893482059211896,1.0000015423671325e-08,1.518664735518571,0.26761627897583506,0.8899076259930375,7.19507515244181,0.5069945290714079
27146.475360241286,0.08676,0.035208,0.036609,0.089918,0.119113,0.124799,0.18184699999999998,0.08418400000000001,0.120367,0.121195,1.0000000020125372e-08,1.0000000020125372e-08,1.0000000020125372e-08,2.8552778021094634,0.3690432839679576,7.002705055740425,1.0000000020125372e-08,1.0000000020125372e-08,1.0000000020125372e-08,1.0000000020125372e-08,1.0000000020125372e-08,6.5995325152008615,1.0000000020125372e-08,1.0000000020125372e-08,3.2398018297249864,14.17665950793474,1.0000000020125372e-08,1.0000000020125372e-08,1.0000000020125372e-08,1.273589321917311,1.0000000020125372e-08,1.8772233568769245,1.0000000020125372e-08,3.0354914125104675,1.0000000020125372e-08,1.0000000020125372e-08,6.297758047605239,1.0000000020125372e-08,8.923841163865294,0.7276970828743693,1.323679859285354,5.262149717876965,0.19072375335148717,6.604977624708295,1.0000000020125372e-08,0.952580911725387,1.8782585738275552,1.0000000020125372e-08,5.10909493042776,1.0000000020125372e-08,1.4348510522327385,0.08700648864592891,1.7660715603402748,10.6204619199461,1.2081178371810262
27386.053207578756,0.088189,0.038837,0.043892,0.090944,0.11941299999999999,0.122883,0.180859,0.07953199999999999,0.123851,0.1116,1.0000000008130226e-08,1.0000000008130226e-08,1.0000000008130226e-08,2.198539264794946,0.7100900355350691,8.11329155810725,1.0000000008130226e-08,1.0000000008130226e-08,1.0000000008130226e-08,1.0000000008130226e-08,1.0000000008130226e-08,8.865370444393248,1.0000000008130226e-08,1.0000000008130226e-08,0.644151461382011,13.141430383704,1.0000000008130226e-08,1.0000000008130226e-08,1.0000000008130226e-08,0.7184262477316287,1.0000000008130226e-08,6.000731803642616,1.0000000008130226e-08,3.150601806144867,1.0000000008130226e-08,1.0000000008130226e-08,6.611710431904931,1.0000000008130226e-08,9.656713438296997,1.9061037287160416,0.9186621548414929,4.867456775906328,0.20771565251095922,4.631560148822021,1.0000000008130226e-08,1.135710982045752,2.7561357353823466,1.0000000008130226e-08,6.232741194394279,1.0000000008130226e-08,0.9449687323866026,0.4774792033681557,1.7448505444301738,7.450710198154186,1.1190772635405937
27250.156207073633,0.087504,0.039623,0.043011,0.088308,0.11962500000000001,0.12301200000000001,0.173007,0.08141,0.121777,0.122723,1.0000000010590594e-08,1.0000000010590594e-08,1.0000000010590594e-08,3.796675076043065,0.5590274609182043,6.026497333690485,1.0000000010590594e-08,1.0000000010590594e-08,1.0000000010590594e-08,1.0000000010590594e-08,1.0000000010590594e-08,2.0736435283558508,1.0000000010590594e-08,1.0000000010590594e-08,2.4242075581214717,12.490875270962336,1.0000000010590594e-08,1.0000000010590594e-08,1.0000000010590594e-08,0.7504403644190002,1.0000000010590594e-08,2.745779917655777,1.0000000010590594e-08,3.375452263700619,1.0000000010590594e-08,1.0000000010590594e-08,6.930501384653021,1.0000000010590594e-08,9.881414792306623,1.8377802152026348,0.8116134077439705,6.822792552552937,0.605286242807307,6.772669207327219,1.0000000010590594e-08,1.1135227126802354,0.9897798493854634,1.0000000010590594e-08,6.968057681838294,1.0000000010590594e-08,1.4134736255828961,0.18886580559064137,0.7990089550878052,5.962510413935329,1.5947775580792225
27455.773585063227,0.08625,0.04249,0.045505,0.091847,0.125085,0.117919,0.169145,0.083026,0.115868,0.122865,9.999999985517533e-09,9.999999985517533e-09,9.999999985517533e-09,5.426023237646191,0.19265407921782313,9.503936069981519,9.999999985517533e-09,9.999999985517533e-09,9.999999985517533e-09,9.999999985517533e-09,9.999999985517533e-09,3.59120470828585,9.999999985517533e-09,9.999999985517533e-09,3.860046966352674,13.653424936448475,9.999999985517533e-09,9.999999985517533e-09,9.999999985517533e-09,1.0513634382074686,9.999999985517533e-09,2.0582586925522333,9.999999985517533e-09,2.0640530121271707,9.999999985517533e-09,9.999999985517533e-09,5.865753842120904,9.999999985517533e-09,11.131927024498514,1.8766080993931424,0.77602046971174,4.47650464730194,9.999999985517533e-09,5.227720518879559,9.999999985517533e-09,1.1623950391761089,2.1684186175259574,9.999999985517533e-09,5.092171441818053,9.999999985517533e-09,1.974958229870759,0.46487098029523105,1.0106186593822237,7.3961506020410095,0.8110192139555118
27635.46184384401,0.084442,0.040919,0.041807,0.092824,0.116882,0.122814,0.182976,0.080267,0.111451,0.125618,1.0000000004100725e-08,1.0000000004100725e-08,1.0000000004100725e-08,3.0936186646442296,0.17089668091972002,7.505686867996244,1.0000000004100725e-08,1.0000000004100725e-08,1.0000000004100725e-08,1.0000000004100725e-08,1.0000000004100725e-08,5.746615409538336,1.0000000004100725e-08,1.0000000004100725e-08,3.813241174893195,10.80429320909809,1.0000000004100725e-08,1.0000000004100725e-08,1.0000000004100725e-08,0.7144769963620944,1.0000000004100725e-08,2.133252677728374,1.0000000004100725e-08,1.3716363914915315,1.0000000004100725e-08,1.0000000004100725e-08,8.5459787577047,1.0000000004100725e-08,10.14103506378359,2.1630240014169617,1.1248148970955048,4.836978280423508,1.0000000004100725e-08,4.591216166929069,1.0000000004100725e-08,0.8064070689447655,2.197232411809743,1.0000000004100725e-08,6.442573198978958,1.0000000004100725e-08,1.4079817953874278,0.16451494495913432,2.0151507659627836,7.939114120066874,1.427252977562878
27383.33871328901,0.086406,0.0427,0.047202,0.094299,0.119089,0.119786,0.17100100000000001,0.081707,0.119047,0.11876300000000001,1.000000000497337e-08,1.000000000497337e-08,1.000000000497337e-08,2.6583519453685467,0.7598713515294379,8.171609229717827,1.000000000497337e-08,1.000000000497337e-08,1.000000000497337e-08,1.000000000497337e-08,1.000000000497337e-08,5.146137420192467,1.000000000497337e-08,1.000000000497337e-08,2.839115117247913,13.097860176671166,1.000000000497337e-08,1.000000000497337e-08,1.000000000497337e-08,1.0429734117892488,1.000000000497337e-08,2.0151214801016843,1.000000000497337e-08,2.1230548215831817,1.000000000497337e-08,1.000000000497337e-08,7.436367894808663,1.000000000497337e-08,7.680853261069636,1.9276829944031237,0.9627222854589463,4.8805760271040874,0.4019553601907726,6.794937834112135,1.000000000497337e-08,0.8600375711624941,2.4073036178466887,1.000000000497337e-08,5.58197272792545,1.000000000497337e-08,1.6396875265242128,0.2970685537004792,2.865745626107613,7.111732312495202,1.2615270271775731
27452.77968263555,0.085326,0.040585,0.039902,0.08412,0.118253,0.123944,0.172513,0.083604,0.122802,0.128951,9.99999999562014e-09,9.99999999562014e-09,9.99999999562014e-09,1.4879771285834518,0.1725902972089482,6.8686109954028085,9.99999999562014e-09,9.99999999562014e-09,9.99999999562014e-09,9.99999999562014e-09,9.99999999562014e-09,4.227595434282075,9.99999999562014e-09,9.99999999562014e-09,3.3168781702516412,16.371350314111446,9.99999999562014e-09,9.99999999562014e-09,9.99999999562014e-09,9.99999999562014e-09,9.99999999562014e-09,2.2185293641084645,9.99999999562014e-09,1.7882105115059335,9.99999999562014e-09,9.99999999562014e-09,8.000890767719598,9.99999999562014e-09,9.506145246473121,1.714063350149377,1.7817494832576768,6.677309118117352,9.99999999562014e-09,5.677191776175554,9.99999999562014e-09,0.8771133840765907,0.717673098839215,9.99999999562014e-09,4.011338792969013,9.99999999562014e-09,1.5847984585403516,0.1651130349975826,1.9873752796483446,9.135638435532064,1.7806815032766903
27219.20308963887,0.089228,0.039327,0.042095,0.090276,0.122679,0.12240100000000001,0.17689300000000002,0.07902,0.120396,0.117685,1.0000000001038132e-08,1.0000000001038132e-08,1.0000000001038132e-08,3.2619838347243837,0.35927303159755103,7.951309343538291,1.0000000001038132e-08,1.0000000001038132e-08,1.0000000001038132e-08,1.0000000001038132e-08,1.0000000001038132e-08,6.096289607942308,1.0000000001038132e-08,1.0000000001038132e-08,2.480303171729672,13.519021474519207,1.0000000001038132e-08,1.0000000001038132e-08,1.0000000001038132e-08,0.3746678637144537,1.0000000001038132e-08,2.4287539193362577,1.0000000001038132e-08,3.5669973036864584,1.0000000001038132e-08,1.0000000001038132e-08,8.7003256839099,1.0000000001038132e-08,10.588583856399584,1.1131778490866595,1.3173140359787123,5.685917703825769,0.4065340884992772,4.8411367303176815,1.0000000001038132e-08,0.7324333535814102,2.2739155320266486,1.0000000001038132e-08,3.411502777955059,1.0000000001038132e-08,1.110946269002069,0.1875174767391725,0.8384743650061256,9.152935229453911,0.9837932384141619
27029.11240212355,0.087688,0.039801,0.045801,0.087072,0.11523800000000001,0.128222,0.180969,0.08312,0.112758,0.11933099999999999,9.999999999760258e-09,9.999999999760258e-09,9.999999999760258e-09,1.8609614195020492,0.9279824884884397,7.9275970388884405,9.999999999760258e-09,9.999999999760258e-09,9.999999999760258e-09,9.999999999760258e-09,9.999999999760258e-09,1.3474942504582088,9.999999999760258e-09,9.999999999760258e-09,9.999999999760258e-09,15.165905363103262,9.999999999760258e-09,9.999999999760258e-09,9.999999999760258e-09,0.7069478158181117,9.999999999760258e-09,2.2042461923508276,9.999999999760258e-09,2.261318585724853,9.999999999760258e-09,9.999999999760258e-09,8.09484370417053,9.999999999760258e-09,10.479842751049338,3.2220001768325637,0.9883225976292033,4.94973991430548,9.999999999760258e-09,6.377352412026087,9.999999999760258e-09,1.2480318131856203,1.9380144075962957,9.999999999760258e-09,6.231109837211556,9.999999999760258e-09,1.7200969774282149,0.19442079655879146,1.3099940023193082,6.857198882791006,1.237324994484402
